S/No,Product Description,UoM,Max
115,Paint - Black Bituminous - 5 Litres,Each,74
116,Paint - Clear Vanish 5 litres,Each,298
117,Paint - Gloss (Oil paint) - 5 Litres,Each,286
118,Paint - PVA (Emulsion paint) - 20Litres,Each,255
119,Paint - PVA (Emulsion paint) - 5Litres,Each,90
120,Paint - PVA Washable paint-20Ltrs,Each,"1,901"
121,Paint - Red oxide 5 litres,Each,338
122,Paint - Wood Vanish 5 litres,Each,357
123,Paint Brush 1.5 inch (38mm),Each,9
124,Paint Brush 2 inch (51mm),Each,12
125,Paint Brush 4 inch (102mm),Each,20
126,Paint Brush 6 inch (152mm),Each,31
127,Paint Brush 8 inch (203mm),Each,36
128,Paint -Undercoat paint - 20Litres,Each,251
129,Pan connector - 110mm Diameter PVC,Each,47
130,Particle Ceiling Board - 8mm sheet,Each,213
131,Pipe 40mm ( 1 ½) diameter PVC -6m,Each,85
132,Pipe 50mm (2 inches) diameter PVC -6m,Each,119
133,P-trap - 32mm Diameter Rubber,Each,56
134,"Rain down PVC pipe - 150 x 150mm
diameter",m,111
135,Razor wire 500mm x 15 meters,Each,425
136,Rectangular tube 50mm x 25 mm x 6 metres,Each,228
137,Rectangular tube 60 mm x 40mm x 6 metres,Each,343
138,"Reducer - ¾ inches (19mm) x ½ inches
(13mm) -GI",Each,26
139,"Reducer - ¾ inches (19mm) x ½ inches
(13mm) -PVC",Each,10
140,"Reducer-1inch(25mm)x¾inches(19mm-
PVC",Each,30
141,"Reducer-1inch(25mm)x¾inches(19mm)-
GI",Each,60
142,Return valve 1 ½ inches - GI,Each,190
143,Return valve 1 ½ inches PVC,Each,178
144,Roller Paint brush,Each,38
145,Roller Paint brush with tray,Each,65
146,Roofing nails 75mm GI,Kg,41
147,Roofing sheet 0.21mm Corrugated (3.5m),Each,153
148,"Roofing sheet 0.4mm thick IBR/IT4 colour
coated sheet",m,89
149,Scraper 1.5 inches,Each,12
150,Scraper 2.0 inches,Each,18
151,Scraper 3 inches,Each,22
152,Scraper 4 inches,Each,31
153,Scrapper 2.5 inches,Each,13
154,"Sewer Pipe -110mm Diameter Heavy Duty
PVC-6m Long)",Each,258
155,"Sewer Pipe -110mm Diameter Light Duty
PVC-6m Long)",Each,213
156,Shackle Insulator (Electricity Shackle),Each,85
157,Shovel,Each,128
158,Shower mixer - 13mm Diameter,Each,891
159,Shower rose - 13mm,Each,60
160,Shower rose - 13mm PVC,Each,76
161,"Sink - Double drain and double bowl
industrial stainless steel",Each,"1,700"
162,"Sink-Singledrainandsinglebowlindustrial
stainless steel",Each,850
163,Sink mixer - Kitchen and Laundry,Each,"1,275"
164,"Soap holder 150 x 150mm (Ceramic
recessed)",Each,51
