,Item,,UnitCost
103,Fluorescent Double LED Fitting - 2 ft (610mm),Each,207
104,Fluorescent Single LED Fitting - 2 ft (610mm),Each,232
105,Fluorescent Double LED Fitting - 4 ft (1219mm),Each,416
106,Fluorescent Single LED Fitting - 4 ft (1219mm),Each,282
107,Fluorescent LED tube - 2 ft (610mm),Each,57
108,Fluorescent LED tube - 4 ft (1219mm),Each,78
109,Fluorescent Ordinary tube - 2 ft (610mm),Each,41
110,Fluorescent Ordinary tube - 4 ft (1219mm),Each,55
111,Fluorescent Starter,Each,19
112,Fridge - Deep Freezer 195L,Each,"10,274"
113,Fridge - Deep Freezer 210L,Each,"9,225"
114,Fridge - Upright 157L,Each,"9,679"
115,Fridge - Upright 310L,Each,"13,511"
116,Generator - Diesel - 3KVA (3000w),Each,"29,242"
117,Generator - Diesel - 6.5KVA (6500w),Each,"40,520"
118,Generator - Diesel - 7.5KVA (7500w),Each,"49,407"
119,Generator - Diesel 3 Phase - 11KVA (11000w),Each,"76,711"
120,Generator - Petrol - 1KVA (1000w),Each,"7,916"
121,Generator - Petrol single phase - 4 Stroke - 5.5KVA,Each,"21,659"
122,Heater - Halogen heater (2 bar),Each,701
123,Heater - Radiant heater (2 bar),Each,"1,066"
124,Insulation Tape - 18mm x 9.15m,Each,14
125,Insulating Tape - 18mm x 20m,Each,25
126,Lightning arrestor,Each,104
127,Looping box - PVC 2 way,Each,6
128,Looping box - PVC 3 way,Each,5
129,Looping box - PVC 4 way,Each,3
130,Looping box cover - PVC,Each,2
131,Main Circuit Breaker (MCB) 5 Amp,Each,59
132,Main Circuit Breaker (MCB) 10 Amp,Each,67
133,Main Circuit Breaker (MCB) 20 Amp,Each,70
134,Main Circuit Breaker (MCB) 25 Amp,Each,74
135,Main Circuit Breaker (MCB) 30 Amp,Each,71
136,Main Circuit Breaker (MCB) 60 Amp,Each,93
137,Main Circuit Breaker (MCB) 80 Amp,Each,109
138,Main Circuit Breaker (MCB) 100 Amp,Each,135
139,Main Circuit Breaker (MCB) 150 Amp,Each,228
140,Main Circuit Breaker (MCB) 200 Amp,Each,248
141,Metre box,Each,95
142,Microwave 18 ltrs,Each,"2,805"
143,Microwave 20 ltrs,Each,"3,159"
144,Microwave 30 ltrs,Each,"4,365"
145,Microwave 18 ltrs - Digital,Each,"2,522"
146,Microwave 20 ltrs - Digital,Each,"3,534"
147,Microwave 30 ltrs - Digital,Each,"5,391"
148,Neutral bar,Each,44
149,Photo Cell 10A AC 105-135V,Each,285
150,Pressing Iron - Dry Iron,Each,641
151,Pressing Iron - Steam Iron,Each,820
152,Sanding machine 200w,Each,"1,165"
153,Sanding machine 300w,Each,"1,334"
154,Sanding machine 400w,Each,#NUM!
155,Screws - Self-taping (1/2) inch - 1kg,Each,134
156,Screws - Self-taping (3/4) inch - 1kg,Each,130
157,Screws - Self-taping (1) inch - 1kg,Each,140
158,Screws - Self-taping (1.5) inch - 1kg,Each,168
159,Socket - Single outlet - PVC,Each,70
160,Socket - Double outlet - PVC,Each,127
161,Socket - Single outlet - GI,Each,108
162,Socket - Double outlet - GI,Each,206
163,Solar Charge Controller 24V/20A 150w,Each,479
164,Battery - Solar gel Battery - 12V 100AH,Each,"4,597"
165,Battery - Solar gel Battery - 12V 150AH,Each,"6,575"
166,Battery - Solar gel Battery - 12V 200AH,Each,"10,337"
167,Battery - Solar Lithium ion Battery 24V/150AH,Each,"21,142"
168,Battery - Solar Lithium ion Battery 24V/200AH,Each,"30,116"
169,Solar Panel -Mono Crystalline 245w,Each,"2,608"
170,Street Light - Solar - 100w,Each,"2,124"
171,Street Light - Electric - 150 watts,Each,"1,532"
172,Switch - 1 gang - PVC,Each,51
173,Switch - 2 gang -PVC,Each,65
174,Switch - 3 gang - PVC,Each,83
175,Switch - 4 gang -PVC,Each,96
176,Switch - 1 gang - GI,Each,72
177,Switch - 2 gang - GI,Each,96
178,Switch - 3 gang - GI,Each,140
179,Switch - 4 gang - GI,Each,213
180,Washing machine Front Loader - 6kg,Each,"14,496"
181,Washing machine Front Loader - 8kg,Each,"13,642"
182,Washing machine Front Loader - 9kg,Each,"16,851"
183,Washing machine Front Loader - 12kg,Each,"17,266"
184,Washing machine Top Loader - 8kg,Each,"10,755"
185,Washing machine Top Loader - 9kg,Each,"9,079"
186,Washing machine Top Loader - 12kg,Each,"11,687"
187,Washing machine Top Loader -13kg,Each,"13,704"
188,Water Dispenser - 2 Outlets (Hot & Cold),Each,"3,125"
189,Water Dispenser - 3 Outlets (Hot Cold & RoomTempreture),Each,"4,535"
190,Welding rods 2.5mm (1kg),Each,70
191,Welding rods 5mm (1kg),Each,106
192,Welding Shields,Each,150
193,Welding machine 150A,Each,"5,087"
194,Welding machine 200A,Each,"6,323"
195,Welding machine 500A,Each,"10,588"
196,Microphone - Hand held wireless microphone,Each,"1,631"
197,Microphone - Hand held microphone,Each,"1,645"
198,Hand dryer - PVC,Each,"1,354"
199,Hand dryer - Stainless,Each,"2,655"
200,Battery - Solar Lithium ion Battery 12V/100AH,Each,"9,849"
201,Battery - Solar Lithium ion Battery 12V/200AH,Each,"10,160"
202,Battery - Solar Lithium ion Battery 5.3KW/H48V/100AH,Each,"28,750"
203,Invetor-Hybrid 1.5KVA,Each,"2,300"
204,Invetor-Hybrid 2.5KVA,Each,"5,695"
205,Invetor-Hybrid 3.0 KVA,Each,"9,063"
206,Invetor-Hybrid 5.0KVA,Each,"16,653"
207,Invetor-Hybrid 8.0KVA,Each,"23,504"
208,Solar Panel -Mono Cystalline 35w,Each,713
209,Solar Panel -Mono Cystalline 50w,Each,965
210,Solar Panel -Mono Cystalline 100w,Each,"1,635"
211,Solar Panel -Mono Cystalline 350w,Each,"3,945"
212,Solar Panel -Mono Cystalline 415w,Each,"3,638"
213,Solar Panel -Mono Cystalline 550w,Each,"3,484"
