Item,,UnitCost
Gate valve - 19mm (¾ inch) - PVC,Each,82.00
Gate valve - 19mm (¾ inch) -Brass,Each,166.00
Gate valve - 25mm (1 inch) - Brass,Each,192.00
Gate valve - 25mm (1 inch) - PVC,Each,124.00
Gate valve - 32mm (1 ¼ inch) - Brass,Each,262.00
Gate valve -32mm(1 ¼ inch) - PVC,Each,130.00
Glass - 4mm thick clear glass,m2,529.00
Glass - 4mm thick obscure glass,m2,982.00
Glass - 6mm thick clear glass,m2,994.00
Glass - 6mm thick Georgian wire glass,m2,1452.00
Glass - 6mm thick obscure glass,m2,1352.00
Glass - 8mm thick clear glass,m2,1157.00
Glass - 8mm thick obscure glass,m2,1955.00
Glass cutter,Each,70.00
Glass putty knife,Each,40.00
Glue - PVC 250ml,Each,65.00
Glue - PVC 500ml,Each,109.00
Glue - Wood 250ml,Each,73.00
Glue - Wood 500ml,Each,98.00
Grinding Disc 100mm (4 inch),Each,55.00
Grinding Disc 115mm (4.5 inch),Each,78.00
Grinding Disc 125mm (5 inch),Each,97.00
Grinding Disc 180mm (7 inch),Each,125.00
Grinding Disc 230mm (9 inch),Each,175.00
Grinding Disc 300mm (12 inch),Each,242.00
Grinding Disc 350mm (14 inch),Each,301.00
Gulley trap - 110mm (4.3 inch) Diameter - PVC,Each,128.00
Hacksaw blade -12 inches (300mm).,Each,33.00
Hack-Saw Frame(Metal) -12 inches (300mm),Each,117.00
High tensile steel rod; 10mm diameter deformed bars x12 meters,Each,186.00
High tensile steel rod; 10mm diameter round bars x 12meters,Each,168.00
High tensile steel rod; 12mm diameter deformed bars x12 meters,Each,238.00
High tensile steel rod; 12mm diameter round bars x 12meters,Each,218.00
High tensile steel rod; 16mm diameter deformed bars x 12 meters,Each,409.00
High tensile steel rod; 16mm diameter round bars x 12meters,Each,372.00
High tensile steel rod; 20mm diameter deformed bars x 12 meters,Each,760.00
High tensile steel rod; 20mm diameter round bars x 12meters,Each,473.00
High tensile steel rod; 25mm diameter deformed bars x 12 meters,Each,1108.00
High tensile steel rod; 32mm diameter deformed bars x 12meters,Each,1438.00
High tensile steel rod; 6mm diameter round bars x 6 meters,Each,70.00
High tensile steel rod; 8mm diameter deformed bars x12 meters,Each,140.00
High tensile steel rod; 8mm diameter round bars x 12meters,Each,129.00
Hinges - Butterfly - 4 inch,Each,43.00
Hinges - Butterfly-5 inch,Each,67.00
Hinges - Butterfly-6 inch,Each,73.00
Inspection bend - 32mm(1 ¼ inches) Diameter - PVC,Each,22.00
Inspection bend - 38mm( 1 ½ inches) Diameter- PVC,Each,28.00
Inspection Tee - 110mm (4.3 inches) Diameter - PVC,Each,94.00
J-hook (roofing bolt) 4 inches (102mm),kg,251.00
J-hook (roofing bolt) 9 inches (229mm),kg,295.00
Lamp holder (lightbulb socket),Each,25.00
Laterite (Gravel),Ton,498.00
Laundry Concrete Trough - Double bowl,Each,1208.00
Laundry Concrete Trough - Single bowl,Each,1128.00
Laundry Stainless Steel Trough - Double bowl,Each,4999.00
Laundry Stainless Steel Trough - Single bowl,Each,2972.00
Lipped Channels 100 x 75 x 20 x 3mm 12m,Each,1532.00
Lipped Channels 150 x 50 x 20 x 3mm 12m,Each,2136.00
Lipped Channels 200 x 50 x 20 x 3mm 12m,Each,3014.00
Lipped Channels 250 x 50 x 20 x 3mm 12m,Each,3450.00
Lipped Channels 300 x 50 x 20 x 3mm 12m,Each,4025.00
Lipped Channels 75 x 50 x 20 x 3mm - 12m,Each,1329.00
Male adaptor -13mm (½ inch) - PVC,Each,21.00
Male adaptor -13mm (½ inch)- GI,Each,24.00
Nipple - 13mm (½ inch) - GI,Each,19.00
Nipple -13mm (½ inch) - PVC,Each,12.00
Non return Valves - 38mm (1 ½ inch) - Brass,Each,254.00
Nylon rope 12mm x 50m,Each,551.00
Nylon rope 20mm x 50m,Each,754.00
Nylon rope 6mm x 50m,Each,311.00
Padlock - Brass long shackle 30mm,Each,91.00
Padlock - Brass long shackle 63mm,Each,183.00
Padlock - Discus 60mm,Each,103.00
Padlock - Discus 90mm,Each,139.00
Padlock - Iron 32mm,Each,61.00
Padlock - Iron 52mm,Each,99.00
Paint - Black Bituminous - 5 Litres,Each,157.00
Paint - Brick Varnish 5 litres,Each,618.00
Paint - Clear Vanish 5 litres,Each,569.00
Paint - Gloss (Oil paint) - 5 Litres,Each,517.00
Paint - PVA (Emulsion paint) - 20Litres,Each,437.00
Paint - PVA (Emulsion paint) - 5Litres,Each,165.00
Paint - PVA Washable paint-20Ltrs,Each,1651.00
Paint - Red oxide 5 litres,Each,439.00
Paint - Wood Vanish 5 litres,Each,591.00
Paint Brush 1.5 inch (38mm),Each,18.00
Paint Brush 2 inch (51mm),Each,25.00
